marital_status,relationship,income
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Wife,>50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Wife,>50K
Never-married,Own-child,<=50K
Widowed,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Other-relative,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Own-child,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Separated,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Married-AF-spouse,Wife,<=50K
Widowed,Not-in-family,<=50K
Never-married,Unmarried,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Unmarried,<=50K
Never-married,Own-child,<=50K
Widowed,Unmarried,>50K
Married-civ-spouse,Husband,>50K
Married-spouse-absent,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Divorced,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,>50K
Married-spouse-absent,Unmarried,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Never-married,Unmarried,<=50K
Never-married,Own-child,<=50K
Divorced,Not-in-family,<=50K
Separated,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Divorced,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-spouse-absent,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Unmarried,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,>50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Divorced,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Divorced,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Wife,>50K
Never-married,Not-in-family,<=50K
Separated,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Wife,<=50K
Never-married,Own-child,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Widowed,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Divorced,Unmarried,<=50K
Divorced,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-spouse-absent,Own-child,<=50K
Divorced,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Separated,Not-in-family,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,>50K
Divorced,Unmarried,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Separated,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,>50K
Widowed,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,>50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Separated,Unmarried,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-spouse-absent,Unmarried,<=50K
Never-married,Own-child,<=50K
Widowed,Unmarried,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-spouse-absent,Own-child,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Unmarried,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Wife,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Other-relative,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Wife,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Widowed,Unmarried,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Wife,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,<=50K
Never-married,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Other-relative,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,>50K
Never-married,Unmarried,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,<=50K
Widowed,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,>50K
Never-married,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,<=50K
Never-married,Unmarried,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Separated,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Divorced,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,<=50K
Separated,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Separated,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Own-child,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Divorced,Unmarried,>50K
Divorced,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Separated,Unmarried,>50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,<=50K
Separated,Unmarried,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Other-relative,<=50K
Separated,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Never-married,Unmarried,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Divorced,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Wife,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,>50K
Divorced,Not-in-family,<=50K
Divorced,Not-in-family,>50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Separated,Not-in-family,<=50K
Divorced,Unmarried,<=50K
Married-spouse-absent,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Wife,<=50K
Never-married,Other-relative,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Separated,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Divorced,Other-relative,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Other-relative,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Unmarried,<=50K
Never-married,Not-in-family,>50K
Divorced,Not-in-family,>50K
Married-civ-spouse,Husband,>50K
Separated,Own-child,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Separated,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Unmarried,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Wife,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Divorced,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Unmarried,<=50K
Never-married,Own-child,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Separated,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Married-spouse-absent,Not-in-family,>50K
Divorced,Unmarried,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,>50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Never-married,Other-relative,<=50K
Never-married,Unmarried,<=50K
Widowed,Not-in-family,<=50K
Divorced,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Unmarried,<=50K
Never-married,Not-in-family,<=50K
Married-spouse-absent,Unmarried,<=50K
Divorced,Not-in-family,>50K
Never-married,Not-in-family,>50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Wife,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Divorced,Unmarried,<=50K
Never-married,Other-relative,<=50K
Divorced,Unmarried,>50K
Divorced,Other-relative,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Wife,>50K
Never-married,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,>50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Married-civ-spouse,Husband,>50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,<=50K
Widowed,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Married-spouse-absent,Own-child,<=50K
Married-civ-spouse,Wife,>50K
Widowed,Not-in-family,<=50K
Never-married,Unmarried,<=50K
Divorced,Unmarried,<=50K
Never-married,Own-child,<=50K
Never-married,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Not-in-family,<=50K
Married-spouse-absent,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Divorced,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Divorced,Unmarried,<=50K
Never-married,Not-in-family,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Wife,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Widowed,Own-child,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Never-married,Not-in-family,<=50K
Divorced,Not-in-family,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,<=50K
Divorced,Unmarried,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Wife,>50K
Married-civ-spouse,Husband,<=50K
Never-married,Own-child,<=50K
Never-married,Not-in-family,<=50K
Married-civ-spouse,Husband,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Own-child,<=50K
Married-civ-spouse,Husband,>50K
Widowed,Not-in-family,<=50K
Separated,Other-relative,<=50K
Divorced,Not-in-family,<=50K
Married-civ-spouse,Husband,>50K
Never-married,Not-in-family,<=50K
